Name,Org. Name,Director,Duration,Genre,Metascore,IMDB Rating,Number of awards,Awards,Description,Festival Section,URL
"Alice, Darling","ALICE, DARLING",Mary Nighy,89 min,"Drama, Thriller",65.0,5.4,0,,"Alice, Darling is a psychological thriller that masterfully showcases gaslighting within a toxic relationship and the power of women’s friendship. The film follows Alice (Anna Kendrick), a woman who is pushed to the breaking point by her abusive boyfriend. While on vacation with two close friends, she discovers the essence of herself and gains some much needed perspective. but Simon’s vengeance is as inevitable as it is shattering. Mary Nighy’s feature film debut, Alice, Darling had its world premiere at the Toronto Film Festival.",No More Flowers,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/alice-darling
Everybody Loves Jeanne,TOUT LE MONDE AIME JEANNE,Céline Devaux,95 min,"Comedy, Drama, Romance",,,0,,"Everybody has always loved Jeanne, who was set out to save the world. These days, she hates herself, though. Up to her ears in debt, she has to go to Lisbon and sell her mother’s apartment, who passed away one year ago. At the airport, she runs into Jean, a whimsical and somewhat intrusive former high school classmate. As if this is not enough, she is constantly flanked by ‘Little Ghost,’ a tiny hairy creature who comments on her every move, whispering obscenities into her ear. ‘I wanted to write a comedy about depression and therefore talk about all the toxic thoughts that go through us when we’re not feeling well. I had to find a way to portray them joyfully,’ says director and illustrator Céline Devaux about her feature film debut, a charming and unconventional romantic comedy that premiered at Cannes 2022 within the International Critics’ Week section.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/everybody-loves-jeanne
Kapr Code,KAPR CODE,Lucie Králová,91 min,"Documentary, Biography, Music",,,1,2022 Krakow Best Film (DocFilmMusic),"A documentary opera, a musical biography (a life as a composition), a most extraordinary and playful film featuring the contradictory life of progressive composer and prominent communist Jan Kapr. Kapr (1914-88) was a Stalin award laureate, who was later banned in socialist Czechoslovakia for his artistic perspective. 17 opera singers from internationally renowned Czech Philharmonic Choir Brno sing scenes from Kapr’s life, including fragments of police reports, Kapr’s political accounts or love correspondence. Featuring original music by Petra Šuško and Jiří Adámek / Austerlitz’s libretto, the world premiere of Kapr Code was made at Visions du Réel. Their choirmaster, Petr Fiala, is Kapr’s last living student.",Mined Zone,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/kapr-code
A Man,ARU OTOKO,Kei Ishikawa,116 min,"Comedy, Drama, Romance",70.0,7.7,0,,"When the truth comes to light, what will become of love? Kei Ishikawa who garnered international attention with his debut feature Gukoroku / Traces of Sin comes up with yet another mystery drama which premiered at Venice Film Festival’s Orizzonti sidebar. After divorcing, Rie has found happiness with her second husband Daisuke and formed a new family. But when Daisuke dies in a tragic accident, she discovers her new husband was not the man she thought he was. Rie calls on an attorney to help her find the truth about the identity of the man she loved, whom they call X. A quest that will open larger questions about the nature of identity itself, and what makes a person real at all. ‘When we fall in love, what is it about the other person we fall in love with? What if that person turns out to be someone completely different? What if their hidden past harbours the most unexpected secret?’",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/a-man
Crows Are White,Crows Are White,Ahsen Nadeem,97 min,Documentary,,8.0,1,2022 Bergen Documentaire Extraordinaire,"Shot over five years on three continents, Crows are White is an exploration of truth, faith and love, from the top of a mountain to the bottom of a sundae. For over a thousand years, a secretive Buddhist sect has lived in an isolated monastery in Japan performing acts of extreme physical endurance in their pursuit of enlightenment. After decades of living a secret life, a Muslim filmmaker from the USA, sets off to this strict monastery in search of answers. When he arrives, his presence is not welcomed and the only monk who will speak with him is an outcast who prefers ice cream and Slayer to meditation. Together they forge an unlikely friendship that leads them to higher truths and occasionally, a little trouble. Crows are White is the first feature-length film of writer, director and producer, Ahsen Nadeem, who was born in Saudi Arabia and immigrated first to Ireland and eventually the United States.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/crows-are-white
Slow,SLOW,Marija Kavtaradze,13 min,"Short, Drama",,6.3,1,2022 Sundance Directing Award–World Cinema Dramatic,"A touching drama on dance, compromise, and a different way to love, Slow follows dancer Elena and sign language interpreter Dovydas who meet and immediately form a beautiful bond. As they dive into a new relationship, they must navigate how to build their own kind of intimacy, especially when one declares that they are asexual, leading to an inevitable strain. Influenced by Nan Goldin, and shot entirely handheld on 16mm film for its natural aesthetic, Slow debuted in Sundance in January.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/slow
Inland,Inland,Fridtjof Ryder,88 min,"Drama, Mystery",,6.3,0,,"Inland is a modern folktale that explores the fractured identity of a young man after the mysterious disappearance of his mother. Guided by a father figure and old friends who care deeply, his journey through the dreamlike spaces of rural England brings the young man face to face with the loss that haunts him in ways he could never have expected. Written and directed by young German/English filmmaker Fridtjof Ryder, and filmed by a small, young crew, many of which still are in university or starting out, Inland had its world premiere at London Film Festival. ‘The film’s genesis comes from my hometown, from my first loves growing up, and of course from films,’ says director Ryder, ‘The borderland between myth and the present, the thin line between the past and now, in rural England, walking through the landscape, often feels so powerful it makes me cry. The ecological threads of the film tie in directly with the mythical ones.’",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/inland
Other People's Children,LES ENFANTS DES AUTRES,Rebecca Zlotowski,103 min,"Comedy, Drama, Romance",78.0,6.7,0,,"To love other people’s children is risky. Rachel is 40 years old, with no children. She loves her life: her high school students, her friends, her ex, her guitar lessons. When she falls in love with Ali, she becomes attached to Leila, his 4-year-old daughter. She tucks her into bed, cares for her, loves her like her own. ’A stepmother without being a mother herself. As painfully commonplace as male impotence, this situation was nevertheless the starting point of a story worthy of being told,’ says Rebecca Zlotowski for her fifth feature which premiered at Venice. ’I felt that I was filming this love letter in solidarity with childless women.’ Zlotowski delivers a deeply personal, intimate and profoundly moving story of longing and belonging, which she shot during her unexpected pregnancy.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/other-people-s-children
The French Connection,The French Connection,William Friedkin,104 min,"Action, Crime, Drama",94.0,7.7,5,"1972 Oscar Best Picture, Best Actor (Gene Hackman), Best Director, Best Adapted Screenplay, Best Editing",This film is screened with the generous support of the U.S. Mission to Turkey.,A Rebel in Hollywood: William Friedkin,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-french-connection
Joyland,Joyland,Saim Sadiq,126 min,Drama,79.0,7.7,2,"2022 Cannes Jury Prize – Un Certain Regard, Queer Palm","The Ranas–a happily patriarchal joint family–yearn for the birth of a baby boy to continue the family line. Their plans and lives are upended when they learn that their youngest son Haider secretly joins an erotic dance theatre and falls for an ambitious trans starlet. Their impossible love story slowly illuminates the entire Rana family’s desire for sexual rebellion. An occasionally funny and profoundly melancholic film that tackles sexuality, gender, family, honour, respectability, and desire, Joyland is director Saim Sadiq’s debut feature, and the first Pakistani film to premiere at Cannes Film Festival. Screened at the 2022 Toronto International Film Festival within the Special Presentations section, Joyland was declared Pakistan’s Oscar candidate.",Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/joyland
